78      28         -215.881
90      30.0575    -218.896
102     36         -218.275
114     36.7867    -215.219
126     38.0701    -213.716
138     41.2397    -212.434
150     43.5453    -211.127
162     47.632     -211.778
174     50.0407    -210.183
186     53.7767    -208.878
198     57.0774    -207.647
210     59.1474    -207.06
222     62.7215    -206.228
234     66.4404    -205.001
246     70.0775    -203.983
258     71.8845    -202.917
270     74.2744    -201.874
282     77.3911    -201.296
294     80.5521    -200.29
306     84.3501    -198.865
318     86.5671    -198.178
330     90.6375    -196.697
342     92.3611    -197.027
354     96.5206    -196.064
366     99.0137    -196.429
378     101.15     -194.233
390     104.333    -192.804
402     107.042    -192.121
414     109.444    -191.457
426     112.818    -190.161
438     115.578    -188.794
450     118.198    -188.004
462     120.736    -186.97
474     124.159    -186.162
486     126.643    -185.135
498     129.197    -183.977
510     131.712    -183.02
522     135.14     -181.873
534     137.359    -181.157
546     140.19     -179.853
558     142.827    -179.176
570     145.622    -177.78
582     148.319    -176.781
594     150.644    -175.71
606     153.252    -175.073
618     155.858    -173.278
630     158.8      -173.063
642     161.07     -171.807
654     163.636    -170.807
666     165.802    -169.832
678     168.395    -168.213
690     171.091    -166.83
702     172.957    -166.18
714     175.759    -164.818
726     178.792    -163.948
738     181.087    -162.521
750     182.978    -161.685
762     185.663    -160.692
774     187.701    -159.723
786     190.333    -158.454
798     192.449    -157.943
810     195.114    -156.586
822     197.871    -155.469
834     199.096    -154.554
846     202.024    -153.951
858     204.649    -152.837
870     206.306    -151.945
882     208.959    -150.888
894     210.606    -149.603
906     214.317    -148.345
918     215.793    -147.515
930     217.643    -147.093
942     220.24     -145.676
954     222.442    -144.798
966     224.76     -143.493
978     226.262    -143.003
990     228.714    -141.932
1002    230.534    -141.224
1014    232.921    -138.944
1026    234.457    -138.183
1038    237.382    -137.262
1050    239.39     -136.208
1062    240.89     -135.119
1074    242.454    -133.822
1086    245.632    -133.378
1098    247.598    -131.296
1122    252        -130.011
1134    252        -127.683
1146    254.847    -128.699
1158    260        -126.887
1170    260        -126.817
1182    260        -124.81
1194    263.301    -123.504
1206    264.924    -123.319
1218    267.065    -121.771
1230    268.928    -120.472
1242    270.456    -119.993
1254    272.685    -118.848
1266    274.188    -117.658
1278    274.959    -116.951
